,open,high,low,close,num_tick,num_buy,num_sell,volume_buy,volume_sell,max_volume_buy,max_volume_sell,Hasbrouck_lambda,round_size
2017-09-24 06:35:08+00:00,31734.00257,31883.46375,31413.48453,31680.253230000002,165,160,5,2266.321479999999,38.90410000000001,21.95916,19.128220000000002,-2.9116530547651684e-08,116
2017-09-24 09:16:23+00:00,31679.961689999996,31704.79445,31080.582189999997,31141.844839999998,174,165,9,2154.5969600000003,152.58066,21.9255,21.28146,-1.9100565378510663e-07,143
2017-09-24 13:46:41+00:00,31142.193919999998,32349.910330000002,31142.193919999998,32219.38427,177,171,6,2229.8922399999983,74.08149999999999,21.96554,21.5139,3.3916933386024725e-07,138
2017-09-24 15:36:00+00:00,32233.816260000003,32269.375539999997,31781.73349,32071.990139999998,138,126,12,2127.9559,185.09758000000002,21.916079999999997,20.66628,-5.707264101537945e-08,107
2017-09-24 18:29:08+00:00,32073.971980000002,32250.578189999997,31395.539210000003,31395.539210000003,162,153,9,2217.6371199999994,92.76231999999999,21.93366,21.2964,-2.3113573683134948e-07,134
2017-09-24 19:48:29+00:00,31395.539210000003,32009.7479,31340.63955,31937.633380000003,170,169,1,2281.174300000001,20.24394,21.89572,20.24394,1.6760522920263424e-07,134
2017-09-24 20:21:08+00:00,31959.93119,32143.3399,31806.482930000002,31806.482930000002,153,147,6,2196.6279000000004,104.4934,21.89946,21.86554,-4.554348226989546e-08,113
2017-09-24 21:27:44+00:00,31806.482930000002,32101.61095,31757.57534,32070.009660000003,186,185,1,2281.46218,21.890639999999998,21.890639999999998,21.890639999999998,7.95018062336955e-08,147
2017-09-24 23:53:13+00:00,32067.730910000002,32300.01879,31709.343339999996,31709.72995,149,138,11,2201.849140000001,119.02874,21.91156,20.56784,-1.2917032545400447e-07,115
2017-09-25 14:25:17+00:00,31728.7295,32761.64947,31728.7295,32761.64947,142,130,12,2225.2349519000013,86.57106,26.588459999999998,20.82056,3.8395834332725767e-07,114
2017-09-25 15:49:20+00:00,32774.9332,33061.74054,32716.80645,32866.40303,164,114,50,1668.7314800000006,632.4852999999999,21.987679999999997,21.89946,7.235688821239319e-08,134
2017-09-25 17:33:02+00:00,32793.98981,33156.86202,32579.77543,32579.77543,142,112,30,1912.4806599999995,401.7922199999999,21.97878,21.935760000000002,-1.409882215689243e-07,117
2017-09-25 21:33:38+00:00,32599.170980000003,33083.42445,32599.170980000003,33018.49464,143,135,8,2208.042519999999,106.82708,21.992820000000002,21.78952,1.473501074543563e-07,124
2017-09-26 05:19:30+00:00,33020.02037,33135.517210000005,32372.23931,32397.046589999998,191,180,11,2279.301500000001,27.807479999999998,22.0,15.416820000000001,-1.8264792930907712e-07,146
2017-09-26 06:16:11+00:00,32398.499260000004,32463.96235,32209.309839999998,32318.04316,173,173,0,2312.4960399999977,0.0,21.9164,0.0,-2.2854623298634006e-08,139
2017-09-26 08:56:38+00:00,32331.70347,32735.97578,32317.007260000002,32612.63382,145,143,2,2286.278279999998,20.82322,21.7153,20.62654,9.384552807378055e-08,122
2017-09-26 18:51:35+00:00,32643.77761,32800.56388,31518.01,32464.80504,154,144,10,2198.700839999999,117.93844,21.99836,21.84122,-5.131793483409928e-08,129
2017-09-27 10:56:23+00:00,32543.11392,33423.25258,32311.12095,33372.321169999996,158,145,13,2204.9974799999986,104.03245999999997,21.98584,21.70526,3.109682285523411e-07,138
2017-09-27 15:11:33+00:00,33380.36733,33647.925910000005,33263.960080000004,33625.35739,170,154,16,2166.850780000001,150.99890000000002,21.84122,21.143639999999998,8.591053436971533e-08,140
2017-09-27 20:59:35+00:00,33651.31968,34871.053139999996,33568.71768,34568.06856,179,165,14,2205.1874000000003,103.63681999999997,21.7836,19.35596,2.934501415210017e-07,140
2017-09-28 03:45:03+00:00,34542.88847,35187.28355,34402.5072,34557.92334,159,138,21,2080.9391999999993,232.28395999999998,21.98584,39.82042,-3.6136183241907494e-09,122
2017-09-28 07:10:35+00:00,34549.90608,35043.66123,34531.43532,34752.90638,180,155,25,2080.480680000001,234.15915999999996,21.942079999999997,20.0,6.699701156543891e-08,135
2017-09-28 14:20:00+00:00,34766.821560000004,34791.58705,33606.09974,33634.35135,194,171,23,2118.0904800000008,184.2245,21.9796,21.68938,-3.590453061000733e-07,154
2017-09-28 23:13:19+00:00,33666.0981,34105.61243,33582.49293,33870.34263,189,134,55,1673.3546199999998,630.35974,21.88022,21.65466,1.3912978132169795e-07,150
2017-09-29 04:05:34+00:00,33907.81334,34183.60529,31620.85408,32038.574930000002,210,131,79,1557.2425400000004,748.7792899999998,21.990560000000002,38.89472,-1.5168499079585545e-06,160
2017-09-29 06:12:28+00:00,32083.88675,32580.740139999998,31695.40048,32011.972289999998,176,114,62,1469.6768600000003,842.9848800000003,21.79502,21.67848,-2.9369606340901963e-08,150
2017-09-29 09:04:03+00:00,32009.18532,32693.41185,31950.44587,32633.348660000003,181,126,55,1533.0381000000002,780.5948599999998,21.7076,21.47372,5.2353566909632e-07,150
2017-09-29 11:38:54+00:00,32634.70415,32759.558439999997,32353.942160000002,32708.01773,174,131,43,1728.0320199999994,576.34752,21.7076,21.7396,4.275176575338672e-08,149
2017-09-29 12:32:34+00:00,32726.94229,33548.59218,32726.94229,33519.98764,182,169,13,2189.539539999999,113.75724000000002,21.975360000000002,20.15466,2.570007888668252e-07,149
2017-09-29 16:18:23+00:00,33519.98764,33664.8924,33000.0,33349.120930000005,205,156,49,1866.6404399999988,443.546142,21.8321,21.30804,-7.476233360382788e-08,161
2017-09-29 21:01:03+00:00,33365.71516,33407.83422,32834.0,32948.968460000004,199,164,35,1912.0538999999992,389.64316,21.99654,20.4203,-1.655438073131683e-07,151
2017-09-29 22:51:30+00:00,32966.00351,33079.322439999996,32757.061339999997,32934.94616,177,161,16,2076.6761999999994,224.77066000000002,21.663339999999998,20.8035,-4.842886827099696e-09,145
2017-09-30 00:14:28+00:00,32934.94616,32968.482710000004,32755.285289999996,32901.24626,155,131,24,2001.8592000000006,317.72386,21.89946,21.72532,-1.405238473969576e-08,119
2017-09-30 03:11:23+00:00,32920.969189999996,33809.88215,32915.61198,33454.54947,175,160,15,2233.8943199999994,79.3655,21.987679999999997,21.01944,1.718356750986751e-07,147
2017-09-30 05:10:26+00:00,33455.66695,33492.40913,32736.428069999998,33294.00636,171,153,18,2098.9965599999996,204.13628,21.992820000000002,21.44422,-5.649004677609664e-08,145
2017-09-30 07:44:11+00:00,33280.34573,33852.94492,33280.34573,33705.40511,174,158,16,2141.8417400000003,177.19114000000002,21.89572,21.025879999999997,1.3363159740076613e-07,143
2017-09-30 09:44:44+00:00,33722.35158,33882.61832,33632.4527,33632.4527,160,133,27,1929.0881400000012,377.1490799999999,21.987679999999997,21.84904,-3.134173901919455e-08,123
2017-09-30 10:46:40+00:00,33611.8006,34165.882260000006,33558.466589999996,34122.786869999996,171,149,22,2067.1121999999996,250.07194,21.84122,21.84122,1.741025453672491e-07,144
2017-09-30 12:36:07+00:00,34135.484489999995,34279.3507,33865.261080000004,33933.35862,184,170,14,2148.637660000001,158.63232000000002,21.7153,21.046860000000002,-5.86793279555722e-08,149
2017-09-30 14:24:49+00:00,33919.75896,34093.326989999994,33794.791110000006,33903.74737,182,166,16,2140.001279999999,171.19016,21.78952,21.619220000000002,-9.735670258575137e-09,147
2017-09-30 17:05:53+00:00,33917.1149,34333.75463,33917.1149,34089.07196,195,170,25,2005.3540599999985,295.18716,21.96942,21.70526,6.482635518925938e-08,151
2017-09-30 19:06:04+00:00,34089.07196,34312.36724,33916.16253,34203.2322,176,136,40,1754.5506000000005,562.08428,21.89572,21.50392,5.89858959442025e-08,144
2017-09-30 21:49:19+00:00,34176.71386,34311.60173,33925.88607,33946.0,182,142,40,1845.7991400000005,457.73789999999997,24.2,21.89946,-1.1549949119066303e-07,142
2017-10-01 01:12:47+00:00,33946.0,34175.72585,33710.0,33807.51193,215,182,33,1910.0060199999998,402.84183999999993,21.91156,21.7153,-5.298346440441126e-08,164
2017-10-01 04:13:29+00:00,33778.04354,33852.82412,33534.38185,33701.37697,164,122,42,1729.968559999999,571.4265320000001,21.8372,21.69334,-5.969572774909926e-08,137
